id,label,fullname,tong,lt,th,khoi,group,type,clo,content,plo,level
C001,Mac,Triết học Mác-Lênin,3,2,1,Tây y,Đại cương,Ethics,CLO1,Xây dựng được thế giới quan duy vật và phương pháp luận biện chứng duy vật làm nền tảng lý luận cho việc nhận thức các vấn đề nội dung của các học phần khác,PLO4,I
C001,Mac,Triết học Mác-Lênin,3,2,1,Tây y,Đại cương,Ethics,CLO2,"Nhận thức được giá trị ,bản chất khoa học, cách mạng của Triết học Mác- Lê nin để từ đó tiếp cận các khoa học chuyên ngành được đào tạo",PLO4,I
C001,Mac,Triết học Mác-Lênin,3,2,1,Tây y,Đại cương,Ethics,CLO3,"Góp phần xây dựng lập trường, ý thức hệ tư tưởng Mác – Lênin đối với sinh viên",PLO2,I
C001,Mac,Triết học Mác-Lênin,3,2,1,Tây y,Đại cương,Ethics,CLO4,Vận dụng phép biện chứng duy vật vào thực tiễn trong học thuyết âm dương và học thuyết ngũ hành của YHCT,PLO4,I
C002,KTCT,Kinh tế chính trị Mác-Lênin,2,1,1,Tây y,Đại cương,Ethics,CLO1,"Trình bày được những tri thức cơ bản, cốt lõi của Kinh tế chính trị Mác – Lênin trong bối cảnh phát triển kinh tế của đất nước và thế giới ngày nay đảm bảo tính cơ bản, hệ thống, khoa học, cập nhật tri thức mới, gắn với thực tiễn, tính sáng tạo, kỹ năng, tư duy, phẩm chất người học",PLO2,I
C002,KTCT,Kinh tế chính trị Mác-Lênin,2,1,1,Tây y,Đại cương,Ethics,CLO1,"Trình bày được những tri thức cơ bản, cốt lõi của Kinh tế chính trị Mác – Lênin trong bối cảnh phát triển kinh tế của đất nước và thế giới ngày nay đảm bảo tính cơ bản, hệ thống, khoa học, cập nhật tri thức mới, gắn với thực tiễn, tính sáng tạo, kỹ năng, tư duy, phẩm chất người học",PLO4,I
C002,KTCT,Kinh tế chính trị Mác-Lênin,2,1,1,Tây y,Đại cương,Ethics,CLO2,"Hình thành tư duy, kỹ năng phân tích, đánh giá và nhận diện bản chất của các quan hệ lợi ích kinh tế trong phát triển kinh tế - xã hội của đất nước và góp phần xây dựng trách nhiệm xã hội phù hợp trong vị trí việc làm và cuộc sống sau khi ra trường",PLO2,I
C002,KTCT,Kinh tế chính trị Mác-Lênin,2,1,1,Tây y,Đại cương,Ethics,CLO3,"Góp phần xây dựng lập trường, ý thức hệ tư tưởng Mác – Lênin đối với sinh viên",PLO4,I
C003,CNXHKH,Chủ nghĩa xã hội khoa học,2,1,1,Tây y,Đại cương,Ethics,CLO1,"Trình bày được những tri thức cơ bản, cốt lõi nhất về CNXKH, một trong ba bộ phận hợp thành CN Mác – Lênin",PLO4,R
C003,CNXHKH,Chủ nghĩa xã hội khoa học,2,1,1,Tây y,Đại cương,Ethics,CLO2,"Vận dụng được các tri thức đã học vào việc xem xét, đánh giá những vấn đề chính trị - xã hội của đất nước liên quan đến CNXH và con đường lên CNXH ở nước ta nói chung ",PLO4,R
C003,CNXHKH,Chủ nghĩa xã hội khoa học,2,1,1,Tây y,Đại cương,Ethics,CLO3,"Vận dụng các tri thức đã học vào việc xây dựng, phát triển nền YHCT VN kết hợp YHHĐ trong chăm sóc sức khỏe nhân dân",PLO4,R
C003,CNXHKH,Chủ nghĩa xã hội khoa học,2,1,1,Tây y,Đại cương,Ethics,CLO4,"Có thái độ chính trị, tư tưởng đúng đắn về học phần nói riêng và nền tảng tư tưởng của Đảng ta nói riêng",PLO4,R
C004,TTHCM,Tư tưởng Hồ Chí Minh,2,1,1,Tây y,Đại cương,Ethics,CLO1,"Trình bày được có tính hệ thống về tư tưởng, đạo đức, giá trị văn hóa, Hồ Chí Minh",PLO1,R
C004,TTHCM,Tư tưởng Hồ Chí Minh,2,1,1,Tây y,Đại cương,Ethics,CLO2,Hiểu được thêm những kiến thức cơ bản về chủ nghĩa Mác – Lênin,PLO1,R
C004,TTHCM,Tư tưởng Hồ Chí Minh,2,1,1,Tây y,Đại cương,Ethics,CLO3,"Hiểu được về nền tảng tư tưởng, kim chỉ nam hành động của Đảng và của cách mạng nước ta",PLO1,R
C004,TTHCM,Tư tưởng Hồ Chí Minh,2,1,1,Tây y,Đại cương,Ethics,CLO4,Phân tích được những phẩm chất đạo đức cách mạng nhằm góp phần xây dựng nền tảng đạo đức con người mới,PLO1,R
C004,TTHCM,Tư tưởng Hồ Chí Minh,2,1,1,Tây y,Đại cương,Ethics,CLO5,Hiểu rõ được tư tưởng Hồ Chí Minh về kết hợp YHHĐ và YHCT,PLO4,R
C005,LSĐ,Lịch sử Đảng Cộng sản Việt Nam,2,1,1,Tây y,Đại cương,Ethics,CLO1,Trình bày được sự ra đời của Đảng Cộng sản Việt Nam là tất yếu lịch sử,PLO4,R
C005,LSĐ,Lịch sử Đảng Cộng sản Việt Nam,2,1,1,Tây y,Đại cương,Ethics,CLO2,"Trình bày được những nội dung cơ bản của Đảng Cộng sản Việt Nam, trong đó chủ yếu tập trung vào thời kỳ đấu tranh giành chính quyền và giải phóng dân tộc thống nhất đất nước của Đảng",PLO4,R
C005,LSĐ,Lịch sử Đảng Cộng sản Việt Nam,2,1,1,Tây y,Đại cương,Ethics,CLO3,"Vận dụng kiến thức chuyên ngành để chủ động, tích cực trong giải quyết các vấn đề kinh tế, chính trị, văn hóa, xã hội theo đường lối, chính sách, pháp luật của Đảng và Nhà nước đề ra",PLO4,R
C005,LSĐ,Lịch sử Đảng Cộng sản Việt Nam,2,1,1,Tây y,Đại cương,Ethics,CLO4,Trình bày được đường lối của Đảng về YHCT qua các thời kỳ,PLO4,R
A001,GDTC1,Giáo dục thể chất 1,1,0,1,Tây y,Đại cương,Health Promotion,CLO1,"Trình bày được lịch sử phát triển, quá trình phát triển; ý nghĩa và hiệu quả rèn luyện thể chất sau khi tập luyện môn cầu lông",,
A001,GDTC1,Giáo dục thể chất 1,1,0,1,Tây y,Đại cương,Health Promotion,CLO2,"Thực hiện được các kỹ thuật: giao cầu, đập cầu, đỡ cầu, bỏ nhỏ… phương pháp trọng tài và phương pháp tổ chức thi đấu",,
