label,content
PI1.1.1,"Có kiến thức cơ bản về hệ thống pháp luật Việt Nam, về pháp luật Khám bệnh, Chữa bệnh và các văn bản qui phạm pháp luật khác liên quan đến hành nghề Y"
PI1.1.2,"Tuân thủ các quy định của Việt Nam về vai trò, trách nhiệm của bác sĩ y học cổ truyền, thực hiện tốt các quy tắc, văn hóa giao tiếp ứng xử của cán bộ y tế"
PI1.1.3,"Hành nghề trong phạm vi chuyên môn dược cấp phép, tuân thủ các quy định nghề nghiệp; báo cáo các hành vi vi phạm trong chuyên môn, hành nghề với cơ quan có thẩm quyền và chịu trách nhiệm cá nhân với những báo cáo đó"
PI1.2.1,"Chịu trách nhiệm cá nhân đưa ra những quyết định và can thiệp chăm sóc sức khỏe người bệnh, cộng đồng"
PI1.2.2,"Nhận biết các nguy cơ ảnh hưởng đến sự an toàn của người bệnh trong khám bệnh, chữa bệnh và chăm sóc người bệnh"
PI1.2.3,"Tôn trọng người bệnh, giữ thông tin bí mật liên quan đến người bệnh. Chỉ được phép công bố thông tin khi người bệnh đồng ý hoặc để chia sẻ thông tin nhằm nâng cao chất lượng chẩn đoán, điều trị, chăm sóc với những người hành nghề trong nhóm trực tiếp điều trị cho người bệnh hoặc trong trường hợp khác được pháp luật quy định"
PI1.2.4,"Phát huy vai trò, giá trị nghề nghiệp y học cổ truyền trong ngành y tế và xã hội bằng cam kết thực hiện 12 điều y đức, y huấn cách ngôn, các tiêu chuẩn thực hành lâm sàng tốt và chuẩn mực chuyên môn theo quy định hiện hành"
PI1.3.1,"Tôn trọng điều kiện kinh tế, phong tục, tập quán, tín ngưỡng, tôn giáo, văn hóa của mỗi vùng miền và cá nhân"
PI1.3.2,Sẵn sàng thích ứng với các hoàn cảnh đặc biệt để thực hiện hoặc phối hợp với đồng nghiệp trong các hoạt động chuyên môn
PI1.3.3,"Tiếp cận người bệnh và những vấn đề sức khỏe cộng đồng một cách khoa học, trung thực, trách nhiệm, cảm thông và vị tha"
PI1.3.4,"Hành nghề dựa trên nguyên tắc công bằng, không phân biệt các thành phần xã hội"
